0	জিরো
1	ওয়ান
2	টু
3	থ্রী
4	ফোর
5	ফাইভ
6	সিক্স
7	সেবন
8	এইট
9	নাইন
A	এ
a	এ
B	বী
b	বী
C	সী
c	সী
D	ডি
d	ডি
E	ই
e	ই
F	এফ
f	এফ
G	জি
g	জি
H	এছ
h	এছ
I	আই
i	আই
J	জে
j	জে
K	কে
k	কে
L	এল
l	এল
M	এম
m	এম
N	এন
n	এন
O	ও
o	ও
P	পি
p	পি
Q	ক্যু
q	ক্যু
R	আর
r	আর
S	এস
s	এস
T	টি
t	টি
U	ইউ
u	ইউ
V	ভি
v	ভি
W	ডাবলু
w	ডাবলু
X	এক্স
x	এক্স
Y	উহাই
y	উহাই
Z	জেডঃ
z	জেডঃ
